Symbol,Date,Close
DIS,6/15/2016,98.27
DIS,6/16/2016,98.38
DIS,6/17/2016,99
DIS,6/20/2016,99.57
DIS,6/21/2016,98.82
DIS,6/22/2016,98.79
DIS,6/23/2016,99.02
DIS,6/24/2016,95.72
DIS,6/27/2016,94.38
DIS,6/28/2016,96.05
DIS,6/29/2016,96.98
DIS,6/30/2016,97.82
DIS,7/1/2016,98.03
DIS,7/5/2016,97.66
DIS,7/6/2016,98.45
DIS,7/7/2016,98.41
DIS,7/8/2016,99.62
DIS,7/11/2016,99.98
DIS,7/12/2016,100.2
DIS,7/13/2016,99.88
DIS,7/14/2016,99.97
DIS,7/15/2016,99.8
DIS,7/18/2016,100.15
DIS,7/19/2016,99.47
DIS,7/20/2016,98.22
DIS,7/21/2016,98.01
DIS,7/22/2016,97.71
DIS,7/25/2016,97.39
DIS,7/26/2016,96.69
DIS,7/27/2016,96.33
DIS,7/28/2016,95.91
DIS,7/29/2016,95.95
DIS,8/1/2016,95.54
DIS,8/2/2016,95.01
DIS,8/3/2016,96.09
DIS,8/4/2016,95.16
DIS,8/5/2016,95.83
DIS,8/8/2016,95.75
DIS,8/9/2016,96.67
DIS,8/10/2016,97.86
DIS,8/11/2016,97.77
DIS,8/12/2016,96.84
DIS,8/15/2016,97.1
DIS,8/16/2016,96.88
DIS,8/17/2016,96.87
DIS,8/18/2016,96.65
DIS,8/19/2016,96.39
DIS,8/22/2016,95.87
DIS,8/23/2016,95.97
DIS,8/24/2016,95.82
DIS,8/25/2016,95.55
DIS,8/26/2016,95.21
DIS,8/29/2016,94.87
DIS,8/30/2016,94.86
DIS,8/31/2016,94.46
DIS,9/1/2016,94.26
DIS,9/2/2016,94.42
DIS,9/6/2016,93.8
DIS,9/7/2016,93.71
DIS,9/8/2016,94.09
DIS,9/9/2016,92.42
DIS,9/12/2016,93.64
DIS,9/13/2016,92.7
DIS,9/14/2016,92.26
DIS,9/15/2016,92.5
DIS,9/16/2016,92.56
DIS,9/19/2016,92.63
DIS,9/20/2016,92.95
DIS,9/21/2016,92.39
DIS,9/22/2016,93.41
DIS,9/23/2016,93.27
DIS,9/26/2016,91.96
DIS,9/27/2016,91.72
DIS,9/28/2016,92.2
DIS,9/29/2016,91.8
DIS,9/30/2016,92.86
DIS,10/3/2016,92.49
DIS,10/4/2016,92.59
DIS,10/5/2016,92.45
DIS,10/6/2016,92.83
DIS,10/7/2016,92.49
DIS,10/10/2016,92.49
DIS,10/11/2016,91.86
DIS,10/12/2016,91.41
DIS,10/13/2016,91.12
DIS,10/14/2016,91.3
DIS,10/17/2016,90.83
DIS,10/18/2016,91.17
DIS,10/19/2016,91.93
DIS,10/20/2016,92.03
DIS,10/21/2016,93.03
DIS,10/24/2016,93.37
DIS,10/25/2016,92.75
DIS,10/26/2016,93.49
DIS,10/27/2016,94.02
DIS,10/28/2016,93.85
DIS,10/31/2016,92.69
DIS,11/1/2016,92.39
DIS,11/2/2016,91.91
DIS,11/3/2016,93.37
DIS,11/4/2016,92.45
DIS,11/7/2016,94.43
DIS,11/8/2016,94.38
DIS,11/9/2016,94.64
DIS,11/10/2016,94.96
DIS,11/11/2016,97.68
DIS,11/14/2016,97.92
DIS,11/15/2016,97.7
DIS,11/16/2016,99.12
DIS,11/17/2016,99.37
DIS,11/18/2016,98.24
DIS,11/21/2016,97.63
DIS,11/22/2016,97.71
DIS,11/23/2016,98.26
DIS,11/25/2016,98.82
DIS,11/28/2016,98.97
DIS,11/29/2016,99.67
DIS,11/30/2016,99.12
DIS,12/1/2016,98.94
DIS,12/2/2016,98.5
DIS,12/5/2016,99.96
DIS,12/6/2016,100.66
DIS,12/7/2016,101.99
DIS,12/8/2016,103.38
DIS,12/9/2016,104.86
DIS,12/12/2016,104.06
DIS,12/13/2016,103.85
DIS,12/14/2016,104.05
DIS,12/15/2016,104.39
DIS,12/16/2016,103.91
DIS,12/19/2016,105.3
DIS,12/20/2016,105.46
DIS,12/21/2016,105.56
DIS,12/22/2016,105.42
DIS,12/23/2016,105.15
DIS,12/27/2016,105.17
DIS,12/28/2016,104.3
DIS,12/29/2016,104.56
DIS,12/30/2016,104.22
DIS,1/3/2017,106.08
DIS,1/4/2017,107.44
DIS,1/5/2017,107.38
DIS,1/6/2017,108.98
DIS,1/9/2017,108.36
DIS,1/10/2017,108.38
DIS,1/11/2017,109.44
DIS,1/12/2017,107.53
DIS,1/13/2017,108.06
DIS,1/17/2017,107.97
DIS,1/18/2017,108.16
DIS,1/19/2017,107.28
DIS,1/20/2017,107.66
DIS,1/23/2017,107.12
DIS,1/24/2017,107.9
DIS,1/25/2017,108.04
DIS,1/26/2017,108.06
DIS,1/27/2017,109.3
DIS,1/30/2017,110.94
DIS,1/31/2017,110.65
DIS,2/1/2017,111.3
DIS,2/2/2017,110.61
DIS,2/3/2017,110.3
DIS,2/6/2017,109.57
DIS,2/7/2017,109
DIS,2/8/2017,109
DIS,2/9/2017,109.49
DIS,2/10/2017,109.26
DIS,2/13/2017,109.65
DIS,2/14/2017,110.33
DIS,2/15/2017,110.18
DIS,2/16/2017,110.71
DIS,2/17/2017,110.06
DIS,2/21/2017,110.01
DIS,2/22/2017,110.12
DIS,2/23/2017,109.73
DIS,2/24/2017,110.32
DIS,2/27/2017,110.23
DIS,2/28/2017,110.09
DIS,3/1/2017,111.04
DIS,3/2/2017,110.59
DIS,3/3/2017,111.24
DIS,3/6/2017,110.67
DIS,3/7/2017,110.86
DIS,3/8/2017,110.84
DIS,3/9/2017,111.03
DIS,3/10/2017,110.92
DIS,3/13/2017,111.52
DIS,3/14/2017,112.31
DIS,3/15/2017,111.87
DIS,3/16/2017,111.71
DIS,3/17/2017,111.76
DIS,3/20/2017,112.71
DIS,3/21/2017,111.75
DIS,3/22/2017,112.08
DIS,3/23/2017,112.24
DIS,3/24/2017,112.14
DIS,3/27/2017,112.38
DIS,3/28/2017,113.05
DIS,3/29/2017,112.53
DIS,3/30/2017,113.18
DIS,3/31/2017,113.39
DIS,4/3/2017,113.2
DIS,4/4/2017,113.04
DIS,4/5/2017,113
DIS,4/6/2017,113.05
DIS,4/7/2017,112.58
DIS,4/10/2017,112.43
DIS,4/11/2017,113.07
DIS,4/12/2017,113.04
DIS,4/13/2017,113.2
DIS,4/17/2017,113.78
DIS,4/18/2017,114.19
DIS,4/19/2017,113.73
DIS,4/20/2017,114.79
DIS,4/21/2017,114.44
DIS,4/24/2017,113.7
DIS,4/25/2017,115.18
DIS,4/26/2017,115.58
DIS,4/27/2017,115.84
DIS,4/28/2017,115.6
DIS,5/1/2017,114.73
DIS,5/2/2017,114.37
DIS,5/3/2017,111.62
DIS,5/4/2017,111.17
DIS,5/5/2017,111.99
DIS,5/8/2017,111.42
DIS,5/9/2017,112.07
DIS,5/10/2017,109.66
DIS,5/11/2017,109.58
DIS,5/12/2017,109.69
DIS,5/15/2017,109.13
DIS,5/16/2017,107.98
DIS,5/17/2017,106.31
DIS,5/18/2017,106.68
DIS,5/19/2017,107.52
DIS,5/22/2017,107.63
DIS,5/23/2017,107.02
DIS,5/24/2017,107.71
DIS,5/25/2017,107.27
DIS,5/26/2017,108.41
DIS,5/30/2017,108.34
DIS,5/31/2017,107.94
DIS,6/1/2017,108.21
DIS,6/2/2017,107.18
DIS,6/5/2017,106.52
DIS,6/6/2017,105.5
DIS,6/7/2017,105.92
DIS,6/8/2017,104.32
DIS,6/9/2017,105.62
DIS,6/12/2017,107.04
DIS,6/13/2017,106.56
DIS,6/14/2017,106.14
DIS,6/15/2017,105.98
DIS,6/16/2017,105.51
DIS,6/19/2017,105.37
DIS,6/20/2017,103.94
DIS,6/21/2017,104.8
DIS,6/22/2017,104.22
DIS,6/23/2017,104.36
DIS,6/26/2017,105.57
DIS,6/27/2017,105.41
DIS,6/28/2017,106.86
DIS,6/29/2017,105.71
DIS,6/30/2017,106.25
DIS,7/3/2017,107.46
DIS,7/5/2017,105.63
DIS,7/6/2017,103.35
DIS,7/7/2017,103.32
DIS,7/10/2017,103.59
DIS,7/11/2017,103.84
DIS,7/12/2017,104.38
DIS,7/13/2017,104.29
DIS,7/14/2017,105.09
DIS,7/17/2017,104.79
DIS,7/18/2017,105.75
DIS,7/19/2017,106.82
DIS,7/20/2017,107.36
DIS,7/21/2017,107.09
DIS,7/24/2017,107
DIS,7/25/2017,106.42
DIS,7/26/2017,106.94
